Territorialidade,Total,Até R$1.908,Entre R$1.908 e R$2.862,Entre R$2.862 e R$5.724,Entre R$5.724 e R$9.540,Entre R$9.540 e R$14.310,Entre R$14.310 e R$23.850,Entre R$23.850
Brasil,69017704,16737438,13079821,21099497,9509008,4256727,2629450,1705764
Norte,5015651,1981821,1037374,1262716,433521,154380,98609,47230
Nordeste,17874197,7180512,4012648,4280488,1330126,545284,347198,177941
Sudeste,30127752,5010317,5311300,10118185,4944101,2350855,1400745,992250
Sul,10645721,1613709,1751780,3678939,2018517,866081,464868,251827
Centro-Oeste,5354383,951079,966718,1759169,782743,340128,318030,236516
Rondônia,571682,171103,133991,173109,61913,16007,11543,4016
Acre,234988,83340,52278,60846,22137,8341,5463,2584
Amazonas,1017855,400670,200221,253347,83633,47501,14583,17901
Roraima,137535,45276,26363,33524,16870,7733,4393,3376
Pará,2358790,1016312,458216,578157,195157,52847,46394,11707
Amapá,210124,62251,44913,55628,23940,11869,6639,4884
Tocantins,484676,202870,121393,108105,29871,10082,9595,2760
Maranhão,1974467,911414,471882,429089,111174,33731,10647,6529
Piauí,1017663,404413,248376,236814,71803,34264,15192,6802
Ceará,2832636,1178849,672822,648096,185876,68150,52667,26177
Rio Grande do Norte,1080432,343572,248661,303471,108971,35700,25818,14240
Paraíba,1265385,575666,251979,267465,96295,42374,14400,17205
Pernambuco,3021057,1127037,635535,787258,238053,115830,88434,28909
Alagoas,1029267,516054,233897,188604,56459,19437,8432,6384
Sergipe,752191,233854,155758,215767,79782,29338,24532,13161
Bahia,4901100,1889653,1093739,1203923,381714,166461,107076,58534
Minas Gerais,7149295,1392069,1478894,2470800,1092145,384637,207088,123662
Espírito Santo,1388002,323246,277878,452909,182511,81949,41641,27867
Rio de Janeiro,5954943,1330121,1152031,1841226,741427,492630,268416,129091
São Paulo,15635512,1964882,2402496,5353250,2928018,1391638,883599,711629
Paraná,3961208,766083,731285,1288501,619936,301827,157585,95991
Santa Catarina,2528693,301491,377381,957219,524458,220763,102021,45360
Rio Grande do Sul,4155820,546135,643114,1433219,874122,343491,205262,110477
Mato Grosso do Sul,909062,147514,157774,345116,143685,64981,32248,17743
Mato Grosso,1118787,253781,201215,385339,147629,55599,40860,34364
Goiás,2350478,427706,502464,796962,329510,107415,141416,45005
Distrito Federal,976056,122078,105265,231752,161919,112133,103505,139403
Fonte: IBGE - Pesquisa de Orçamentos Familiares,,,,,,,,
